03/06/2026 0:00;23:50:56;0;-160;0; 90.00;-1;1;0
03/06/2026 23:50;223;-126;-31;0; 80.16;-7;-3;0
03/06/2026 23:50;258;-77;-46;0; 97.03;9;-1;0
03/06/2026 23:50;293;47;-175;0; 101.25;-1;2;0
03/06/2026 23:51;328;3;106;0; 104.06;1;-7;0
03/06/2026 23:51;363;103;-176;0; 102.66;2;0;0
03/06/2026 23:51;409;-51;-80;0; 78.75;-3;5;0
03/06/2026 23:51;444;-174;137;0; 35.16;1;-7;0
03/06/2026 23:51;479;-17;97;0; 97.03;2;-5;0
03/06/2026 23:51;514;-52;40;0; 95.62;-1;1;0
03/06/2026 23:51;556;-52;53;0; 95.62;4;1;0
03/06/2026 23:51;591;-132;451;32; 81.56;-14;12;0
03/06/2026 23:51;639;-116;598;32; 25.31;1;-2;0
03/06/2026 23:51;674;-63;413;32; 116.72;5;4;0
03/06/2026 23:51;709;-17;381;32; 82.97;9;-1;0
03/06/2026 23:51;744;-38;651;32; 168.75;-7;-4;0
03/06/2026 23:51;779;-255;599;32; 143.44;-11;0;0
03/06/2026 23:51;814;-269;582;32; 133.59;2;-3;0
03/06/2026 23:51;849;-377;663;32; 87.19;-1;0;0
03/06/2026 23:51;884;-362;1027;16; 84.38;0;3;6
03/06/2026 23:51;919;-455;796;16; 108.28;-14;2;0
03/06/2026 23:51;954;-387;1051;16; 61.88;15;8;0
03/06/2026 23:51;989;-575;1069;16; 70.31;-4;-1;0
03/06/2026 23:51;1024;-560;1281;16; 35.16;0;-1;0
03/06/2026 23:51;1059;-530;1392;16; 309.38;0;4;7
03/06/2026 23:51;1094;-482;1128;16; 261.56;2;-15;6
03/06/2026 23:51;1129;-688;860;16; 334.69;5;-8;6
03/06/2026 23:51;1164;-513;894;16; 101.25;-7;8;0
03/06/2026 23:51;1199;-536;1034;16; 8.44;-5;-10;0
03/06/2026 23:51;1234;-506;720;16; 299.53;6;-2;6
03/06/2026 23:51;1269;-393;560;32; 97.03;-1;0;0
03/06/2026 23:51;1304;-366;728;30; 87.19;-3;8;6
03/06/2026 23:51;1339;-656;902;16; 337.50;-4;2;6
03/06/2026 23:51;1374;-675;994;16; 25.31;4;5;6
03/06/2026 23:51;1409;-481;1168;16; 90.00;7;-9;6
