07/05/2026;19:23:35;356;-366;417;16;18.98;0;1;0
07/05/2026;19:23:36;391;-292;362;16;317.46;4;-6;0
07/05/2026;19:23:37;426;-143;187;0;257.70;1;-2;0
07/05/2026;19:23:38;461;-162;118;0;134.65;-1;-1;0
07/05/2026;19:23:39;496;-162;226;0;88.95;0;7;0
07/05/2026;19:23:40;531;-156;464;0;37.97;0;2;0
07/05/2026;19:23:41;566;15;473;0;325.90;7;-3;0
07/05/2026;19:23:42;601;78;298;0;299.53;3;-8;1
07/05/2026;19:23:43;636;216;208;-124;1.05;6;0;0
07/05/2026;19:23:44;671;439;223;-128;325.90;1;0;0
07/05/2026;19:23:45;706;458;224;-128;359.30;0;0;0
07/05/2026;19:23:48;794;661;257;-128;29.18;7;1;0
07/05/2026;19:23:49;829;868;436;-128;90.70;3;7;0
07/05/2026;19:23:50;882;870;523;-128;95.98;-1;5;0
07/05/2026;19:23:51;917;893;755;-128;81.91;0;3;0
07/05/2026;19:23:52;952;907;754;-128;101.25;0;-2;0
07/05/2026;19:23:54;1022;912;737;-128;78.40;-1;-2;0
07/05/2026;19:23:55;1057;907;726;-128;106.52;-1;2;0
07/05/2026;19:23:56;1092;872;812;-128;117.07;-3;5;0
07/05/2026;19:23:57;1127;823;1054;-128;110.04;-1;7;0
07/05/2026;19:23:58;1162;714;1309;-128;103.01;-3;7;0
07/05/2026;19:23:59;1197;657;1407;-128;192.66;-1;0;0
07/05/2026;19:24:00;1232;591;1320;-128;254.18;-2;-2;0
07/05/2026;19:24:01;1267;618;1272;-128;287.58;3;-5;0
07/05/2026;19:24:02;1302;641;1232;-128;262.97;-2;-1;0
07/05/2026;19:24:03;1337;692;1186;-128;261.21;1;-6;0
07/05/2026;19:24:04;1372;576;976;-128;226.05;-3;-1;0
07/05/2026;19:24:06;1433;703;871;-128;255.94;1;-8;0
07/05/2026;19:24:07;1468;643;686;-128;155.74;-1;-2;0
07/05/2026;19:24:08;1503;616;781;-128;59.06;1;7;0
07/05/2026;19:24:09;1538;774;841;-128;6.33;7;1;0
07/05/2026;19:24:10;1573;934;898;-128;50.27;4;4;0
07/05/2026;19:24:11;1608;1049;1031;-128;50.27;4;5;0
07/05/2026;19:24:12;1643;1165;1170;-160;48.52;0;0;0
07/05/2026;19:24:15;1736;1194;1193;-160;34.45;4;2;0
07/05/2026;19:24:16;1771;1391;1357;-160;6.33;6;3;0
07/05/2026;19:24:17;1806;1654;1346;-160;311.84;6;-5;0
